ID;Site_name;Longitude;Latitude;Power;Uplink_1;Uplink_2;Uplink_3;Uplink_4;Uplink_5;Uplink_6;Downlink_1;Downlink_2;Downlink_3;Downlink_4;Downlink_5;Downlink_6;Azimuth;Tilt;Height
19862;M_4G_OCNITA_OCNTA4G;27.49449444;48.41355833;28;703;708;713;718;723;728;758;763;768;773;778;783;50;4;43
19863;M_4G_OCNITA_OCNTA4G;27.49449444;48.41355833;28;703;708;713;718;723;728;758;763;768;773;778;783;150;4;43
19864;M_4G_OCNITA_OCNTA4G;27.49449444;48.41355833;28;703;708;713;718;723;728;758;763;768;773;778;783;250;4;43
127269;M_4G_ONCOL4G;28.82436667;46.99073611;35.8;703;708;713;718;723;728;758;763;768;773;778;783;106;7;35
658471;M_4G_ONCOL4G;28.82436667;46.99073611;35.8;703;708;713;718;723;728;758;763;768;773;778;783;105;7;35
658472;M_4G_ONCOL4G;28.82436667;46.99073611;35.8;703;708;713;718;723;728;758;763;768;773;778;783;200;8;35
658473;M_4G_ONCOL4G;28.82436667;46.99073611;35.8;703;708;713;718;723;728;758;763;768;773;778;783;310;6;35
127270;M_4G_ONCOL4G;28.82436667;46.99073611;35.8;703;708;713;718;723;728;758;763;768;773;778;783;201;8;35
127271;M_4G_ONCOL4G;28.82436667;46.99073611;35.8;703;708;713;718;723;728;758;763;768;773;778;783;310;6;35
20173;M_4G_ORHEI_ORCIM4G;28.81567222;47.392725;18.5;703;708;713;718;723;728;758;763;768;773;778;783;90;3;63.5
20174;M_4G_ORHEI_ORCIM4G;28.81567222;47.392725;18.5;703;708;713;718;723;728;758;763;768;773;778;783;260;4;58
20175;M_4G_ORHEI_ORCIM4G;28.81567222;47.392725;18.5;703;708;713;718;723;728;758;763;768;773;778;783;350;2;63.5
20176;M_4G_ORHEI_ORCIM4G;28.81567222;47.392725;18.5;703;708;713;718;723;728;758;763;768;773;778;783;90;5;63.5
20177;M_4G_ORHEI_ORCIM4G;28.81567222;47.392725;18.5;703;708;713;718;723;728;758;763;768;773;778;783;260;6;58
20178;M_4G_ORHEI_ORCIM4G;28.81567222;47.392725;18.5;703;708;713;718;723;728;758;763;768;773;778;783;350;2;63.5
23039;M_4G_Dorobanti_Orhei_ORLND3G;28.83065;47.385875;19.15;703;708;713;718;723;728;758;763;768;773;778;783;90;0;33
23040;M_4G_Dorobanti_Orhei_ORLND3G;28.83065;47.385875;19.15;703;708;713;718;723;728;758;763;768;773;778;783;210;4;33
23041;M_4G_Dorobanti_Orhei_ORLND3G;28.83065;47.385875;19.15;703;708;713;718;723;728;758;763;768;773;778;783;320;3;33
1900445;M_4G_ORMTC4G;28.82333333;47.37416667;29.5;703;708;713;718;723;728;758;763;768;773;778;783;20;3;31
1900446;M_4G_ORMTC4G;28.82333333;47.37416667;29.5;703;708;713;718;723;728;758;763;768;773;778;783;190;4;31
1900447;M_4G_ORMTC4G;28.82333333;47.37416667;29.5;703;708;713;718;723;728;758;763;768;773;778;783;280;7;31
870745;M_4G_ORMTC4G_800;28.82347222;47.37444444;35.8;703;708;713;718;723;728;758;763;768;773;778;783;10;2;34
870746;M_4G_ORMTC4G_800;28.82347222;47.37444444;35.8;703;708;713;718;723;728;758;763;768;773;778;783;190;2;34
870747;M_4G_ORMTC4G_800;28.82347222;47.37444444;35.8;703;708;713;718;723;728;758;763;768;773;778;783;280;3;34
19293;M_4G_OTACI_OTCEN1L;27.75680556;48.4433;19.8;703;708;713;718;723;728;758;763;768;773;778;783;130;0;20
20607;M_4G_OTACI_OTCEN4G;27.78680556;48.44330556;19.8;703;708;713;718;723;728;758;763;768;773;778;783;130;0;20
20608;M_4G_OTACI_OTCEN4G;27.78680556;48.44330556;19.8;703;708;713;718;723;728;758;763;768;773;778;783;200;0;20
19297;M_4G_OTACI_OTCEN1L;27.75680556;48.4433;19.8;703;708;713;718;723;728;758;763;768;773;778;783;200;0;20
19295;M_4G_OTACI_OTCEN1L;27.75680556;48.4433;19.8;703;708;713;718;723;728;758;763;768;773;778;783;320;1;20
